word,value,count
pen,41,2
perfume,102,2
perfumes,117,2
perish,49,2
pleasure,90,2
proud,76,2
Queen,91,2
R,14,2
Ra-Hoor-Khu,101,2
Raise,47,2
Reason,81,2
refuse,92,2
remains,92,2
Remember,129,2
reveal,68,2
revealed,104,2
reward,77,2
right,37,2
righteous,100,2
ritual,54,2
rule,53,2
save,55,2
saying,73,2
scribe,64,2
seat,42,2
second,87,2
sense,80,2
servant,102,2
set,37,2
show,36,2
sign,50,2
Since,54,2
sink,56,2
sky,50,2
smite,58,2
some,59,2
sorrow,71,2
sorrows,86,2
sorry,71,2
soul,51,2
speak,54,2
spell,34,2
spells,49,2
spit,28,2
stélé,51,2
stir,38,2
style,56,2
Supreme,105,2
sweet,58,2
swift,44,2
swoon,67,2
system,91,2
teach,32,2
Tear,41,2
tell,24,2
Thebes,73,2
thereby,90,2
thick,31,2
thing,47,2
Think,53,2
throne,73,2
time,43,2
times,58,2
trample,67,2
two,27,2
understood,166,2
unite,71,2
unveiling,120,2
utterly,89,2
uttermost,125,2
value,66,2
Vengeance,127,2
vices,52,2
victorious,107,2
water,49,2
weak,43,2
wear,40,2
were,48,2
West,45,2
whom,42,2
wine,45,2
wines,60,2
wingèd,79,2
wings,58,2
wisdom,77,2
within,44,2
written,77,2
X,6,2
11,11,1
2,2,1
24,24,1
418,418,1
6,6,1
718,718,1
8,8,1
89,89,1
abased,81,1
Abomination,128,1
Abramelin,103,1
Abrogate,87,1
absolve,86,1
abstruction,133,1
accursèd,99,1
achieve,58,1
add,51,1
adorant,90,1
adorations,115,1
Adorer,79,1
adulterous,140,1
aeons,67,1
afterward,103,1
again,45,1
agelong,75,1
Ahathoor,59,1
Aiwass,48,1
alienate,70,1
all-touching,91,1
aloud,64,1
Alphabet,60,1
already,79,1
altar,34,1
Amen,63,1
Amn,50,1
an-hungered,155,1
animal,56,1
ANKH-F-N-KHONSU,179,1
anything,94,1
apostle,57,1
apparel,46,1
appeal,32,1
Appear,45,1
arched,60,1
ardours,106,1
argue,68,1
argument,122,1
armies,68,1
armour,89,1
around,101,1
arouse,82,1
asks,52,1
assuage,89,1
assume,94,1
attack,47,1
attribute,104,1
avail,33,1
availest,70,1
availeth,58,1
away,36,1
awful,51,1
axle,25,1
azure,76,1
azure-lidded,159,1
B,20,1
babe,58,1
Bahlasti,58,1
balanced,93,1
bare,52,1
bathing,72,1
beasts,77,1
beat,47,1
beauteous,135,1
beautifully,129,1
beauty’s,105,1
become,79,1
bed,56,1
beds,71,1
been,70,1
beetles,84,1
Begone,91,1
being,68,1
bend,80,1
bending,115,1
bends,95,1
Bes-na-Maut,137,1
best,57,1
between,100,1
Bid,43,1
big,31,1
Bind,67,1
blasphemy,100,1
blessed,100,1
blessèd,100,1
blindness,135,1
blue-lidded,142,1
bond,77,1
bosom,76,1
both,42,1
bottom,79,1
bound,102,1
bowels,67,1
brass,69,1
breast,76,1
breath,64,1
breathe,77,1
breathed,100,1
bright,57,1
