word,value
chains,49
chalice,26
Chamber,78
chance,49
change,58
changeless,102
chant,43
chanted,79
Chaos,35
Chapel,28
charge,48
chariot,43
chariots,58
charm,45
charmed,81
charred,74
chaste,47
chastise,62
chattering,90
check,37
cheeks,63
chi,5
Chian,34
chid,28
chief,30
child,29
Children,80
Chinese,70
chirp,23
choose,53
chorus,69
chosen,67
cicada,37
cipher,36
Circle,32
circles,47
circuit,52
circumference,155
circus,58
cities,39
Citlaltepetl,67
city,29
clad,31
clamour,78
clasp,27
claws,31
cleanse,73
clear,35
clearly,54
cleaveth,68
clerk-house,113
cling,38
cloak,35
cloistral,57
close,41
closed,64
closely,60
closer,55
closing,63
clothed,61
clouds,76
cloudy,79
cluster,79
coal,18
cobbler,80
coffin,60
Cohesion,77
coil,13
coiled,49
coiling,48
coils,28
Coin,36
cold,36
Colder,63
coldness,103
collar,33
College,51
colour,62
colouring,97
colours,77
column,83
combine,90
come,46
comely,65
comes,61
cometh,58
comfort,78
coming,68
comment,100
commune,116
Companion,100
company,84
compassed,108
compassion,106
complement,118
comprehend,127
conceal,57
concealed,93
concealeth,82
concealments,139
conceptions,113
concerning,124
Concourse,115
Concubine,120
conditions,117
cone,49
confident,117
confound,130
confused,124
confusing,123
confusion,122
conjuration,130
conjure,95
Conquer,104
conquered,140
conquering,139
conqueror,128
conquerors,143
Conquest,114
consciousness,170
consecrated,130
console,75
consoled,98
consoler,89
constant,98
constellations,138
consume,110
consumed,133
consummate,145
Consummation,166
contaminated,145
contemneth,128
contemplate,111
contemplation,132
content,91
contented,127
contents,106
continent,115
continuity,121
continuous,144
contract,75
conventicles,135
Conversation,148
convert,94
convey,89
cook,39
cool,23
coolth,35
Coph,19
copy,34
coral,32
core,39
Corinth,62
corn,50
corner-stone,148
corners,92
corpse,58
corpses,73
correct,64
corrodeth,98
corrupt,78
corrupted,114
corruption,112
corrupts,93
cosy,45
couches,70
could,61
count,70
counted,106
countenance,151
country,102
coupled,78
courage,80
courses,94
Court,60
courtesan,117
covenant,109
cover,61
covered,97
covereth,86
cow,20
cowardly,81
cowards,77
cower,47
crackle,54
cradle,58
craft,42
crapulous,101
crash,39
crater,57
crawl,30
crazy,58
create,56
created,79
createth,68
Creation,77
Creator,67
Creature,95
creeds,80
creeks,74
creep,46
creeping,81
cried,52
cries,44
criest,53
crieth,41
crocodile,75
crook’d,76
Cross,56
crown,58
crowned,94
crucified,91
cruel,55
crush,59
crushed,95
crust,65
cry,34
crying,69
crystal,64
crystalline,102
crystallized,120
crystals,79
cubby,85
cube,60
cult,37
cup,31
cup-bearers,125
cup-boy,79
curls,57
curse,69
curses,84
curve,76
cut,36
dagger,77
dais,43
dalliance,74
dalliest,67
dally,48
damn,73
damned,109
damsels,93
Dance,67
danced,90
dancers,96
danger,90
dare,55
dark,59
darkened,132
darkeners,138
darkly,78
darkly-splendid,181
darkness,126
darling,78
darteth,76
dash,46
daughter,103
daughters,118
dawn,60
day,46
days,61
daytime,89
dazzling,102
dead,64
deadlier,92
deadly,83
deal,42
dear,55
death,53
death-agony,121
death-kisses,128
Death-star,96
Debate,83
debated,106
Decay,61
deceive,86
deceived,109
deceiver,100
decided,97
decked,91
declare,71
declared,94
decoction,93
deed,72
deeds,87
deem,70
Deep,53
Deeper,80
defied,84
defile,62
defiled,85
defunct,108
deifieth,73
delicacy,64
delicious,89
delight,60
delighted,96
delighteth,85
Delightful,98
delights,75
deliver,86
delivered,122
Delos,62
demand,109
Demiurge,120
Demon,91
demons,106
denied,96
deny,78
deona,75
depart,68
depth,52
depths,67
descended,149
desert,87
desirable,104
desire,78
desired,101
desires,93
desolate,89
desolation,110
despise,83
despised,106
despite,77
destroy,102
destroyed,138
Destroyer,129
destroyeth,127
destruction,144
determine,130
Deva,63
devil,59
devilish,77
devotion,111
devour,107
devourer,134
devoureth,132
devouring,142
dew,44
diadem,85
diamond,106
diamonds,121
did,46
didst,70
die,36
died,59
difference,126
diffracted,113
dim,44
dimmest,102
Din,47
dine,60
dipping,66
dire,50
directions,110
directly,80
direful,88
dis-ease,84
disappear,83
disciples,73
disclose,79
discomforted,152
discourse,117
discoursing,139
discover,99
discuss,95
disease,84
disguise,102
disgust,98
dispelled,93
disperse,97
Dispersion,118
display,66
disposed,103
disposition,110
disregards,133
Disruption,124
disruptive,125
dissipated,107
dissolution,132
dissolve,99
dissolved,122
dissolving,121
distant,85
distil,48
distorted,116
distressed,140
dithyramb,113
dive,58
dived,81
divers,87
diverse,100
divest,82
Divide,81
divided,104
divine,82
division,94
do,33
does,61
dog,44
dogs,59
dolorous,108
dolphin,65
domain,83
