word,value,count
brilliant,74,2
Brother,83,2
burn,83,2
burning,118,2
camest,65,2
canst,55,2
captains,64,2
chamber,78,2
change,58,2
chosen,67,2
cities,39,2
cobbler,80,2
coil,13,2
concerning,124,2
consciousness,170,2
core,39,2
corrupt,78,2
corruption,112,2
courtesan,117,2
cow,20,2
crazy,58,2
Creation,77,2
crocodile,75,2
dance,67,2
days,61,2
dead,64,2
defiled,85,2
desired,101,2
diamond,106,2
die,36,2
disclose,79,2
dissolved,122,2
division,94,2
door,57,2
drank,83,2
drone,84,2
drunk,103,2
dwell,46,2
eagle,43,2
eaten,64,2
echo,28,2
Elephant,72,2
embrace,88,2
entwined,114,2
ere,40,2
established,117,2
Eternal,79,2
everlasting,127,2
Exalted,70,2
exceeded,106,2
falling,54,2
Far-off,65,2
fashioned,105,2
fast,41,2
feet,47,2
fell,27,2
filth,25,2
finest,73,2
fire,39,2
flame,52,2
flew,34,2
foam,48,2
fool,33,2
force,51,2
forest,73,2
forgotten,112,2
fresh,57,2
fruit,60,2
Further,90,2
gathered,91,2
generations,138,2
gleam,51,2
glistening,108,2
glow,30,2
goal,27,2
grass,60,2
gray,48,2
greater,79,2
grew,46,2
grey,56,2
grip,29,2
guests,88,2
Happy,34,2
harlot,42,2
haven,67,2
Hawk,33,2
heat,30,2
Heaven,80,2
heed,52,2
high,17,2
hit,12,2
home,47,2
Hoor,37,2
Hope,30,2
House,66,2
humming-bird,162,2
hundred,125,2
Ibis,35,2
immortal,81,2
incense,91,2
instruct,98,2
ivory,64,2
journey,111,2
just,56,2
key,48,2
kiss,47,2
knowledge,120,2
known,83,2
lap,10,2
lesser,71,2
lifted,58,2
Lilith,14,2
Listen,62,2
loosen,73,2
lost,35,2
lotus,60,2
lute,48,2
mad,49,2
madness,116,2
maiden,86,2
maidens,101,2
marble,74,2
matter,71,2
meet,56,2
melted,80,2
messenger,139,2
midnight,91,2
mingled,93,2
Moreover,117,2
most,55,2
mountains,133,2
myriads,96,2
Mysteries,118,2
narcissus,115,2
never,86,2
Next,52,2
noise,62,2
note,56,2
offering,96,2
oil,11,2
outermost,126,2
own,42,2
painted,78,2
Pan-pipe,54,2
paps,28,2
partake,67,2
pass,39,2
Past,33,2
Pearls,52,2
penniless,109,2
perfume,102,2
petal,32,2
pieces,47,2
pierce,46,2
pillars,40,2
pleasure,90,2
Point,47,2
pools,40,2
pour,53,2
Power,49,2
prayed,77,2
pride,54,2
purse-proud,147,2
Pylon,57,2
Queen,91,2
Ra,19,2
rejoiced,82,2
relax,39,2
resounding,159,2
ride,50,2
ripe,31,2
Rise,42,2
rivers,78,2
rode,60,2
rose,52,2
Royal,48,2
sad,43,2
sails,36,2
sand,67,2
sang,55,2
sate,42,2
save,55,2
say,38,2
scent,63,2
scourged,113,2
Sebek,78,2
shaken,77,2
shamed,80,2
shaped,63,2
sharp,41,2
shining,77,2
should,77,2
shrine,69,2
sides,66,2
sight,38,2
silver,65,2
sing,50,2
slain,45,2
slave,56,2
slaves,71,2
Slime,50,2
smitten,91,2
Smooth,68,2
sore,52,2
spark,55,2
sphere,62,2
stand,76,2
starry,75,2
stirred,88,2
stone,71,2
stood,67,2
stretched,101,2
strivest,97,2
subdue,121,2
subtly,88,2
suffered,127,2
sunder,114,2
sunset,101,2
supernal,101,2
sword,70,2
taste,51,2
taught,62,2
tavern,87,2
tempest,84,2
terrible,84,2
terror,74,2
thereupon,115,2
Thought,70,2
thrice,41,2
thunderbolt,151,2
Thus,52,2
tongue,92,2
took,46,2
torment,100,2
tremulous,133,2
turned,108,2
turquoise,127,2
Typhon,68,2
understand,175,2
unloosed,121,2
unspeakable,142,2
until,59,2
unutterable,158,2
Uræus,97,2
vain,51,2
value,66,2
Vast,51,2
veil,36,2
venom,90,2
vines,74,2
violets,70,2
vision,71,2
waited,58,2
wanton,80,2
warm,48,2
way,31,2
wept,34,2
what,25,2
whence,63,2
why,29,2
wilderness,126,2
winds,70,2
within,44,2
Worm,53,2
writeth,56,2
yield,55,2
youth,65,2
Abaddon,110,1
abased,81,1
abaseth,70,1
abide,61,1
abides,76,1
abideth,73,1
ablution,94,1
abodes,86,1
Abominable,119,1
abomination,128,1
abound,107,1
absolved,109,1
absorbed,120,1
abuse,78,1
Accept,35,1
accomplished,99,1
acid,30,1
Across,61,1
afflicted,77,1
affright,66,1
afloat,42,1
afraid,59,1
after,53,1
Ahathoor,59,1
Ahrimanes,100,1
aid,28,1
aimed,62,1
aimless,70,1
alexandrite,113,1
alike,36,1
all-sweeping,95,1
Almost,61,1
already,79,1
Altar,34,1
always,52,1
amaranth,86,1
Amennti,96,1
amethyst,93,1
amorous,100,1
androgyne,142,1
Angel,54,1
Animal,56,1
any,47,1
Aormuzdi,117,1
apart,37,1
ape,22,1
aphorism,72,1
appears,60,1
appointed,92,1
Ararita,52,1
Arcanum,96,1
arisen,71,1
arm,40,1
arose,57,1
around,101,1
arrow,51,1
ask,37,1
asp,24,1
atheists,69,1
aureole,81,1
