word,value,count
rags,45,1
ravens,93,1
re-veil,63,1
reflecting,99,1
reflections,113,1
reins,66,1
resolved,111,1
rested,87,1
returned,135,1
ruddy,103,1
said,43,1
save,55,1
sceptre,70,1
see,41,1
seeing,76,1
selfish,59,1
serpents,107,1
servant,102,1
set,37,1
shaking,75,1
shall,25,1
shape,40,1
sharp,41,1
she,31,1
shone,65,1
sickle,48,1
Silence,68,1
slain,45,1
small,43,1
smoke,76,1
smoked,99,1
smote,68,1
Son,49,1
soul,51,1
speak,54,1
spear,51,1
sphere,62,1
Sphinxes,80,1
spirits,57,1
splendid,103,1
Stability,77,1
Stable,63,1
stablished,104,1
staff,53,1
stand,76,1
steep,54,1
Sun,64,1
tearing,76,1
Temple,61,1
than,41,1
thank,58,1
Thanksgiving,141,1
thereby,90,1
therein,76,1
thereof,74,1
Thine,49,1
this,27,1
though,61,1
thought,70,1
threshold,91,1
through,75,1
thundered,147,1
times,58,1
together,82,1
tongues,107,1
treacherous,123,1
trembled,114,1
Triads,66,1
tried,59,1
Trinity,74,1
truth,60,1
twin,41,1
unchanging,129,1
understanding,210,1
understood,166,1
Unity,76,1
unknowable,147,1
unmajestic,121,1
us,40,1
utmost,89,1
Vault,62,1
venerable,125,1
verily,68,1
Viceregent,121,1
Victory,75,1
vile,36,1
virginal,77,1
volcanoes,102,1
vomit,62,1
wandering,122,1
way,31,1
welded,81,1
wend,68,1
Wheel,38,1
when,48,1
wherewith,71,1
whiter,47,1
without,64,1
women,76,1
wonder,92,1
wood,51,1
work,49,1
worked,85,1
worlds,71,1
worship,54,1
wrote,54,1
ye,31,1
years,65,1
μή,48,1
οὔ,470,1
י,6,1
קדש,404,1
ת,9,1
